name,link,rating,ico_profile,team,vision,product,start,end
youra,https://icobench.com/ico/youra/,2.6,2.6,0,0,0,01 Jan 2018,Unknown
1worldblockchain,https://icobench.com/ico/1worldblockchain/,3.3,2.5,4.0,3.9,3.7,Unknown,Unknown
aditus,https://icobench.com/ico/aditus/,2.5,2.5,0,0,0,01 Dec 2017,Unknown
big-foundation,https://icobench.com/ico/big-foundation/,2.5,2.5,3.0,3.0,2.0,12 Oct 2017,01 Nov 2018
bitto-exchange,https://icobench.com/ico/bitto-exchange/,2.5,2.5,0,0,0,16 Jan 2018,03 Apr 2018
blaq,https://icobench.com/ico/blaq/,2.5,2.5,0,0,0,Unknown,Unknown
bloomzed,https://icobench.com/ico/bloomzed/,2.5,2.5,0,0,0,17 Jan 2018,17 Feb 2018
centra,https://icobench.com/ico/centra/,2.4,2.5,1.0,3.0,1.0,Unknown,Unknown
ekash,https://icobench.com/ico/ekash/,2.5,2.5,0,0,0,01 Jan 2018,31 Mar 2018
foodimus,https://icobench.com/ico/foodimus/,2.5,2.5,0,0,0,01 Mar 2018,15 Apr 2018
fusion,https://icobench.com/ico/fusion/,2.5,2.5,0,0,0,Unknown,Unknown
healpoint,https://icobench.com/ico/healpoint/,2.6,2.5,3.0,3.0,3.0,Unknown,Unknown
hybrid-betting,https://icobench.com/ico/hybrid-betting/,2.8,2.5,4.0,4.0,3.0,10 Jan 2018,10 Mar 2018
iconiq-lab,https://icobench.com/ico/iconiq-lab/,2.5,2.5,0,0,0,Unknown,Unknown
labrys,https://icobench.com/ico/labrys/,2.5,2.5,3.0,4.0,1.0,Unknown,Unknown
machtcoin,https://icobench.com/ico/machtcoin/,2.2,2.5,1.0,1.0,2.0,15 Jan 2018,08 Feb 2018
maxbull-coin,https://icobench.com/ico/maxbull-coin/,2.5,2.5,0,0,0,01 Jan 2018,31 Mar 2018
mercury-protocol,https://icobench.com/ico/mercury-protocol/,2.5,2.5,0,0,0,25 Oct 2017,Unknown
novalend,https://icobench.com/ico/novalend/,2.7,2.5,2.3,3.9,3.0,29 Jan 2018,19 Feb 2018
onncoin,https://icobench.com/ico/onncoin/,2.5,2.5,0,0,0,15 Jan 2018,15 Mar 2018
payfrit-rms,https://icobench.com/ico/payfrit-rms/,2.0,2.5,1.0,2.1,1.0,19 Feb 2018,26 Feb 2018
sooloox,https://icobench.com/ico/sooloox/,2.5,2.5,0,0,0,16 Apr 2018,21 Apr 2018
squarex,https://icobench.com/ico/squarex/,2.7,2.5,3.0,4.0,4.0,01 Mar 2018,15 Mar 2018
stubba,https://icobench.com/ico/stubba/,2.5,2.5,0,0,0,30 Jan 2018,28 Feb 2018
tag-world-exchange,https://icobench.com/ico/tag-world-exchange/,3.8,2.5,4.7,4.7,4.7,03 Jan 2018,03 Feb 2018
trevi-token,https://icobench.com/ico/trevi-token/,2.4,2.5,1.0,2.0,2.0,29 Jan 2018,11 Feb 2018
veritas-mining,https://icobench.com/ico/veritas-mining/,2.5,2.5,0,0,0,Unknown,Unknown
zodiaq,https://icobench.com/ico/zodiaq/,2.5,2.5,0,0,0,Unknown,Unknown
0chain,https://icobench.com/ico/0chain/,2.0,2.4,1.0,2.0,1.0,18 Apr 2018,Unknown
4lions-pro,https://icobench.com/ico/4lions-pro/,2.4,2.4,0,0,0,08 Dec 2017,Unknown
axtrust,https://icobench.com/ico/axtrust/,2.4,2.4,0,0,0,31 Mar 2018,30 Apr 2018
cardstack,https://icobench.com/ico/cardstack/,2.7,2.4,4.2,3.8,4.2,Unknown,Unknown
