name,link,rating,ico_profile,team,vision,product,date
quantum1net,https://icobench.com/ico/quantum1net/,4.1,4.8,3.5,3.5,2.1,2018-02-02 - 2018-03-09
skara,https://icobench.com/ico/skara/,4.2,4.8,4.5,3.8,3.5,2017-11-27 - 2018-01-21
socialmedia-market,https://icobench.com/ico/socialmedia-market/,4.0,4.8,3.3,3.9,3.4,
thrive,https://icobench.com/ico/thrive/,4.0,4.8,3.7,3.4,3.2,2018-02-15 - 2018-03-05
tokenstars-team,https://icobench.com/ico/tokenstars-team/,3.9,4.8,4.3,3.5,3.4,2017-12-20 - 2018-02-28
well,https://icobench.com/ico/well/,3.9,4.8,3.8,3.7,2.8,2018-02-25 - 2018-03-15
ab-chain,https://icobench.com/ico/ab-chain/,3.5,4.6,3.7,3.2,3.0,2018-02-19 - 2018-03-31
bcdiploma,https://icobench.com/ico/bcdiploma/,3.9,4.6,3.8,3.8,3.3,2018-01-18 - 2018-02-16
bitrent,https://icobench.com/ico/bitrent/,3.7,4.6,3.0,4.1,2.8,2017-12-01 - 2018-03-01
blockex,https://icobench.com/ico/blockex/,4.2,4.6,4.5,4.0,3.9,2018-01-13 - 2018-01-31
connectjob,https://icobench.com/ico/connectjob/,4.1,4.6,4.3,4.4,2.9,2017-12-01 - 2018-02-11
cryptopus,https://icobench.com/ico/cryptopus/,4.1,4.6,3.8,4.3,3.5,2017-12-03 - 2018-01-31
decentralized-id,https://icobench.com/ico/decentralized-id/,4.2,4.6,4.2,3.9,3.7,2018-01-04 - 2018-02-14
dether,https://icobench.com/ico/dether/,4.2,4.6,4.3,4.0,3.8,
ebcoin,https://icobench.com/ico/ebcoin/,4.1,4.6,4.2,3.8,3.2,2018-01-16 - 2018-02-13
fundfantasy,https://icobench.com/ico/fundfantasy/,3.8,4.6,3.6,3.4,3.3,2018-01-25 - 2018-02-25
gimmer,https://icobench.com/ico/gimmer/,3.8,4.6,3.6,3.2,3.0,2018-01-17 - 2018-01-31
graft,https://icobench.com/ico/graft/,3.6,4.6,3.4,3.0,3.3,2018-01-18 - 2018-02-18
hirematch,https://icobench.com/ico/hirematch/,4.1,4.6,3.9,3.5,3.5,2017-10-01 - 2018-02-15
hoqu,https://icobench.com/ico/hoqu/,4.2,4.6,4.0,4.3,3.9,2017-11-27 - 2018-02-26
kickcity,https://icobench.com/ico/kickcity/,3.8,4.6,3.5,3.5,3.2,2018-02-01 - 2018-04-01
kyc-legal,https://icobench.com/ico/kyc-legal/,4.4,4.6,4.6,4.3,4.1,2017-11-29 - 2018-03-01
lucyd,https://icobench.com/ico/lucyd/,4.2,4.6,4.0,3.5,3.5,2017-10-31 - 2018-02-28
mark-space,https://icobench.com/ico/mark-space/,4.0,4.6,4.2,3.8,3.8,2018-01-23 - 2018-02-28
node,https://icobench.com/ico/node/,4.3,4.6,4.3,4.3,3.6,2018-01-15 - 2018-02-15
picky,https://icobench.com/ico/picky/,3.2,4.6,1.7,2.4,2.0,2018-01-14 - 2018-02-14
raison,https://icobench.com/ico/raison/,3.5,4.6,3.8,2.8,2.2,2018-02-01 - 2018-02-28
repux,https://icobench.com/ico/repux/,3.6,4.6,3.6,3.0,2.8,2017-11-17 - 2018-01-23
scrinium,https://icobench.com/ico/scrinium/,3.2,4.6,3.1,2.8,2.5,2018-02-11 - 2018-03-11
signals,https://icobench.com/ico/signals/,3.8,4.6,3.9,3.4,3.3,2018-02-26 - 2018-03-26
taylor,https://icobench.com/ico/taylor/,3.9,4.6,3.0,1.0,1.0,2018-02-19 - 2018-03-20
transcodium,https://icobench.com/ico/transcodium/,4.0,4.6,3.6,3.9,3.6,2018-01-07 - 2018-02-28
triforce-tokens,https://icobench.com/ico/triforce-tokens/,4.0,4.6,3.7,3.8,3.8,2018-02-20 - 2018-03-06
unilot,https://icobench.com/ico/unilot/,4.1,4.6,3.7,4.0,3.5,2018-01-10 - 2018-02-17
uservice,https://icobench.com/ico/uservice/,3.5,4.6,3.9,2.8,2.6,2017-12-18 - 2018-02-01
vestarin,https://icobench.com/ico/vestarin/,4.7,4.6,5.0,5.0,5.0,2018-01-30 - 2018-02-28
adbank,https://icobench.com/ico/adbank/,3.5,4.5,3.0,3.4,2.8,2017-12-15 - 2018-01-21
adhive,https://icobench.com/ico/adhive/,4.6,4.5,5.0,4.6,4.3,2018-01-31 - 2018-02-06
aidcoin,https://icobench.com/ico/aidcoin/,3.4,4.5,3.4,3.3,2.8,2018-01-16 - 2018-02-01
atfs-project,https://icobench.com/ico/atfs-project/,3.9,4.5,3.8,4.2,3.4,2018-01-10 - 2018-02-09
bankera,https://icobench.com/ico/bankera/,3.5,4.5,3.1,3.3,3.1,2017-11-27 - 2018-02-27
carvertical,https://icobench.com/ico/carvertical/,4.1,4.5,4.0,4.3,3.7,2017-12-26 - 2018-04-04
clearcoin,https://icobench.com/ico/clearcoin/,3.1,4.5,3.1,2.8,2.2,2017-11-18 - 2018-03-31
coinpoker,https://icobench.com/ico/coinpoker/,3.5,4.5,2.7,3.1,3.0,2018-01-19 - 2018-01-26
coinvest,https://icobench.com/ico/coinvest/,4.3,4.5,4.6,4.1,4.0,2018-02-16 - 2018-03-16
crowdwiz,https://icobench.com/ico/crowdwiz/,3.6,4.5,3.7,3.6,2.9,2017-11-20 - 2018-01-31
debitum-network,https://icobench.com/ico/debitum-network/,3.3,4.5,2.9,3.3,2.5,2018-01-25 - 2018-02-25
decentralized-news-network,https://icobench.com/ico/decentralized-news-network/,4.5,4.5,0,0,0,2018-02-02 - 2018-03-09
earth-token,https://icobench.com/ico/earth-token/,4.0,4.5,3.3,4.1,3.3,
elementh,https://icobench.com/ico/elementh/,4.1,4.5,3.4,3.0,4.0,2018-01-15 - 2018-02-14
gameflip,https://icobench.com/ico/gameflip/,3.5,4.5,3.4,3.0,3.0,2017-12-04 - 2018-01-29
hurify,https://icobench.com/ico/hurify/,4.0,4.5,3.7,4.0,3.2,2018-02-01 - 2018-02-28
jury-online,https://icobench.com/ico/jury-online/,3.9,4.5,3.5,3.8,3.4,2018-02-12 - 2018-03-14
live-stars,https://icobench.com/ico/live-stars/,3.5,4.5,2.3,3.9,3.0,2018-01-15 - 2018-02-15
livetree-adept,https://icobench.com/ico/livetree-adept/,4.3,4.5,3.0,5.0,4.0,2018-01-31 - 2018-02-23
mavin,https://icobench.com/ico/mavin/,3.7,4.5,3.6,3.6,3.0,
modex,https://icobench.com/ico/modex/,4.1,4.5,4.1,3.7,3.7,
networkunits,https://icobench.com/ico/networkunits/,4.1,4.5,4.1,4.5,3.1,2017-12-23 - 2018-01-21
ntok,https://icobench.com/ico/ntok/,2.9,4.5,2.5,2.2,2.1,2018-01-15 - 2018-02-15
obizcoin,https://icobench.com/ico/obizcoin/,4.2,4.5,3.7,4.6,3.7,2017-12-14 - 2018-01-24
publiq,https://icobench.com/ico/publiq/,4.4,4.5,4.7,4.7,3.7,2017-11-15 - 2018-02-15
rocket-ico,https://icobench.com/ico/rocket-ico/,3.7,4.5,4.0,3.1,3.2,2017-11-01 - 2018-02-15
rootproject,https://icobench.com/ico/rootproject/,4.0,4.5,4.1,4.3,3.1,
sharpay,https://icobench.com/ico/sharpay/,4.7,4.5,4.9,4.9,4.8,2017-12-11 - 2018-02-11
stopthefakes,https://icobench.com/ico/stopthefakes/,4.1,4.5,3.9,3.8,3.9,2018-01-21 - 2018-02-21
syncfab,https://icobench.com/ico/syncfab/,4.4,4.5,5.0,4.4,3.0,2017-11-15 - 2018-02-15
the-abyss,https://icobench.com/ico/the-abyss/,4.4,4.5,4.0,4.0,4.0,2018-02-07 - 2018-03-01
the-bee-token,https://icobench.com/ico/the-bee-token/,4.0,4.5,4.5,3.8,3.4,2018-01-02 - 2018-01-31
theta-network,https://icobench.com/ico/theta-network/,3.2,4.5,2.3,3.0,2.2,2018-01-08 - 2018-02-08
theworldnews,https://icobench.com/ico/theworldnews/,4.1,4.5,3.0,4.0,1.0,2018-01-17 - 2018-01-31
titanium-blockchain-infrastructure-services,https://icobench.com/ico/titanium-blockchain-infrastructure-services/,4.3,4.5,4.3,4.3,3.9,2017-01-01 - 2018-03-01
tontinetrust,https://icobench.com/ico/tontinetrust/,4.3,4.5,4.6,4.2,3.7,
vinchain,https://icobench.com/ico/vinchain/,3.9,4.5,3.8,3.6,3.3,2018-03-22 - 2018-04-15
yourblock,https://icobench.com/ico/yourblock/,4.3,4.5,4.0,4.1,4.1,2017-12-18 - 2018-02-12
amon,https://icobench.com/ico/amon/,4.0,4.4,4.3,3.3,3.8,2018-03-01 - 2018-03-02
arcona,https://icobench.com/ico/arcona/,4.1,4.4,4.2,4.4,3.3,2017-12-25 - 2018-01-25
babb,https://icobench.com/ico/babb/,4.2,4.4,3.9,4.3,3.9,2018-01-15 - 2018-02-15
bazista,https://icobench.com/ico/bazista/,4.1,4.4,3.6,4.4,3.8,2018-01-08 - 2018-03-02
budbo,https://icobench.com/ico/budbo/,4.1,4.4,4.3,3.5,3.9,2018-01-15 - 2018-02-15
cashbag,https://icobench.com/ico/cashbag/,4.0,4.4,3.0,3.0,3.0,2017-12-15 - 2018-01-22
cedex,https://icobench.com/ico/cedex/,3.7,4.4,4.1,3.6,2.5,
cibus,https://icobench.com/ico/cibus/,3.5,4.4,3.0,3.1,2.1,2018-02-28 - 2018-03-28
colu-local-network,https://icobench.com/ico/colu-local-network/,3.8,4.4,4.0,1.0,1.0,2018-02-14 - 2018-02-21
creditcoin,https://icobench.com/ico/creditcoin/,4.2,4.4,3.0,4.0,3.0,2018-02-14 - 2018-03-01
crypto-bnb,https://icobench.com/ico/crypto-bnb/,2.9,4.4,2.0,2.6,1.4,2018-02-14 - 2018-04-14
dadi,https://icobench.com/ico/dadi/,3.9,4.4,3.4,3.7,3.8,2018-01-22 - 2018-01-29
districts,https://icobench.com/ico/districts/,3.8,4.4,3.7,3.3,3.7,2017-11-01 - 2018-01-31
elcoin,https://icobench.com/ico/elcoin/,3.4,4.4,3.4,3.0,2.3,2018-01-08 - 2018-02-05
experty,https://icobench.com/ico/experty/,3.6,4.4,3.9,3.3,3.0,2018-01-25 - 2018-02-25
fit-token,https://icobench.com/ico/fit-token/,4.2,4.4,3.0,5.0,3.0,2018-01-20 - 2018-03-15
forty-seven-bank,https://icobench.com/ico/forty-seven-bank/,3.6,4.4,3.7,3.3,3.0,2017-12-16 - 2018-03-31
globitex,https://icobench.com/ico/globitex/,4.0,4.4,4.4,3.5,3.8,2018-02-10 - 2018-03-12
honor-jubs,https://icobench.com/ico/honor-jubs/,4.2,4.4,3.4,4.1,4.0,2018-01-15 - 2018-02-17
hydrocoin,https://icobench.com/ico/hydrocoin/,4.2,4.4,4.0,4.4,3.7,2018-01-01 - 2018-03-31
izetex,https://icobench.com/ico/izetex/,4.2,4.4,4.2,4.3,3.5,2018-03-01 - 2018-03-31
